"GEO.id2","GEO.display-label","PopEstimate","Year","Median household income (dollars)","Percent workers commuting by public transportation","Percent population unemployed","Percent no health insurance coverage","Percent income below poverty level","gdp","CENTLAT","CENTLON","INTPTLAT","INTPTLON","UA","UANAME","UAPOP","UZA","UZA Area SQ Miles","UZA Name","UPTs","VRMs","VRHs","Total_Stations_2017","Total_Funding","Federal_Funding","State_Funding","Local_Funding","Other_Funding"
11460,"Ann Arbor, MI Metro Area",350003,2007,61049,3.5,4.4,NA,NA,19619.3,42.253195,-83.8387864,42.2522168,-83.8434233,"23824","Detroit, MI Urbanized Area",3734090,11,1337,"Detroit, MI",50500365,32434112,2238135,38,331534865,56480573,98121992,133481512,331534865
11460,"Ann Arbor, MI Metro Area",350003,2007,61049,3.5,4.4,NA,NA,19619.3,42.253195,-83.8387864,42.2522168,-83.8434233,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
11500,"Anniston-Oxford, AL Metro Area",113103,2007,37074,0,5.7,NA,NA,3803,33.7713812,-85.8261333,33.7717061,-85.8225133,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
11540,"Appleton, WI Metro Area",218026,2007,56846,0.5,3.5,NA,NA,9772.4,44.2885814,-88.3704812,44.2906032,-88.3723255,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
11700,"Asheville, NC Metro Area",402801,2007,43819,0.8,3.7,NA,NA,13557.3,35.6004225,-82.6824186,35.5956693,-82.6816145,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
11780,"Ashtabula, OH Micro Area",101141,2007,39806,0.3,5.5,NA,NA,NA,41.8956694,-80.7590467,41.9066369,-80.7455916,"17668","Cleveland, OH Urbanized Area",1780673,25,772,"Cleveland, OH",61839847,29536202,2230863,468,339981667,79906649,12968490,200008925,339981667
11780,"Ashtabula, OH Micro Area",101141,2007,39806,0.3,5.5,NA,NA,NA,41.8956694,-80.7590467,41.9066369,-80.7455916,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
11980,"Athens, TX Micro Area",78897,2007,39619,0.2,4.1,NA,NA,NA,32.2120115,-95.8534974,32.2116334,-95.8534183,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12020,"Athens-Clarke County, GA Metro Area",188589,2007,40774,2.4,3,NA,NA,6477.4,33.9489106,-83.2138066,33.943984,-83.2138965,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5271550,2007,57189,3.3,5.1,NA,NA,279937.7,33.6959847,-84.4375903,33.6952909,-84.4389425,"03817","Atlanta, GA Urbanized Area",4515419,9,2645,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
