UA,NAME,UA00,UA00NAME,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,UA00POP,UA00HU,UA00AREA,UA00AREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,UA00POPPCT,UA00HUPCT,UA00AREAPCT,UA00AREALANDPCT
03979,"Attica, IN",99999,"Not in a 2000 urban area",2073,911,7076636,6991535,5193,2379,10221990,10136889,,,,,39.92,38.29,69.23,68.97,,,,
04006,"Attica, NY",04006,"Attica, NY",6746,1338,5326494,5326494,6828,1368,5826821,5826821,6922,1431,10530031,10530031,98.80,97.81,91.41,91.41,97.46,93.50,50.58,50.58
04006,"Attica, NY",99999,"Not in a 2000 urban area",82,30,500327,500327,6828,1368,5826821,5826821,,,,,1.20,2.19,8.59,8.59,,,,
04021,"Aubrey, TX",99999,"Not in a 2000 urban area",4139,1559,6101413,6098834,4139,1559,6101413,6098834,,,,,100.00,100.00,100.00,100.00,,,,
04033,"Auburn, AL",04033,"Auburn, AL",64100,30310,100490865,99774020,74741,34604,130171130,129261694,64366,30420,103985228,103257620,85.76,87.59,77.20,77.19,99.59,99.64,96.64,96.63
04033,"Auburn, AL",99999,"Not in a 2000 urban area",10641,4294,29680265,29487674,74741,34604,130171130,129261694,,,,,14.24,12.41,22.80,22.81,,,,
04054,"Auburn, IL",04141,"Auburn--Virden, IL",4014,1607,3866509,3866509,4433,1746,5204444,5204444,8377,3598,15449557,15369992,90.55,92.04,74.29,74.29,47.92,44.66,25.03,25.16
04054,"Auburn, IL",99999,"Not in a 2000 urban area",419,139,1337935,1337935,4433,1746,5204444,5204444,,,,,9.45,7.96,25.71,25.71,,,,
04060,"Auburn, IN",04060,"Auburn, IN",20885,8996,24380078,24380078,21712,9363,30346403,30346403,21333,9169,31108270,31108270,96.19,96.08,80.34,80.34,97.90,98.11,78.37,78.37
04060,"Auburn, IN",99999,"Not in a 2000 urban area",827,367,5966325,5966325,21712,9363,30346403,30346403,,,,,3.81,3.92,19.66,19.66,,,,
04087,"Auburn, NE",04087,"Auburn, NE",3348,1676,3916715,3916715,3474,1742,5204592,5204592,3362,1683,4076391,4076391,96.37,96.21,75.25,75.25,99.58,99.58,96.08,96.08
04087,"Auburn, NE",99999,"Not in a 2000 urban area",126,66,1287877,1287877,3474,1742,5204592,5204592,,,,,3.63,3.79,24.75,24.75,,,,
04114,"Auburn, NY",04114,"Auburn, NY",31462,14344,28636059,28404099,32274,14870,33658749,33421592,31562,14394,29312011,29062640,97.48,96.46,85.08,84.99,99.68,99.65,97.69,97.73
04114,"Auburn, NY",99999,"Not in a 2000 urban area",812,526,5022690,5017493,32274,14870,33658749,33421592,,,,,2.52,3.54,14.92,15.01,,,,
04130,"Auburn--North Auburn, CA",77068,"Sacramento, CA",27729,12537,44544031,44288497,33157,14516,69495593,69234465,1492367,595859,955803126,954413654,83.63,86.37,64.10,63.97,1.86,2.10,4.66,4.64
04130,"Auburn--North Auburn, CA",99999,"Not in a 2000 urban area",5428,1979,24951562,24945968,33157,14516,69495593,69234465,,,,,16.37,13.63,35.90,36.03,,,,
04168,"Augusta, KS",04168,"Augusta, KS",8740,3758,10002039,10002039,9350,3971,11301730,10615010,8747,3763,10865110,10865110,93.48,94.64,88.50,94.23,99.92,99.87,92.06,92.06
04168,"Augusta, KS",99999,"Not in a 2000 urban area",610,213,1299691,612971,9350,3971,11301730,10615010,,,,,6.52,5.36,11.50,5.77,,,,
04195,"Augusta, ME",04195,"Augusta, ME",21362,11204,37657753,37657753,22637,11691,45621960,44883533,23044,12029,53248724,53220242,94.37,95.83,82.54,83.90,92.70,93.14,70.72,70.76
04195,"Augusta, ME",99999,"Not in a 2000 urban area",1275,487,7964207,7225780,22637,11691,45621960,44883533,,,,,5.63,4.17,17.46,16.10,,,,
04222,"Augusta-Richmond County, GA--SC",04222,"Augusta-Richmond County, GA--SC",344130,148550,528713718,525874588,386787,165167,679059182,672162059,348713,150257,604550908,601081426,88.97,89.94,77.86,78.24,98.69,98.86,87.46,87.49
04222,"Augusta-Richmond County, GA--SC",62299,"New Ellenton, SC",2087,1019,5630607,5629775,386787,165167,679059182,672162059,2385,1154,6814943,6813870,0.54,0.62,0.83,0.84,87.51,88.30,82.62,82.62
04222,"Augusta-Richmond County, GA--SC",99999,"Not in a 2000 urban area",40570,15598,144714857,140657696,386787,165167,679059182,672162059,,,,,10.49,9.44,21.31,20.93,,,,
04249,"Aumsville, OR",04249,"Aumsville, OR",3181,1108,2104774,2104774,3692,1282,2980845,2980845,3416,1200,4842607,4842607,86.16,86.43,70.61,70.61,93.12,92.33,43.46,43.46
04249,"Aumsville, OR",99999,"Not in a 2000 urban area",511,174,876071,876071,3692,1282,2980845,2980845,,,,,13.84,13.57,29.39,29.39,,,,
04276,"Aurora, MO",04276,"Aurora, MO",7602,3380,10182072,10158907,8365,3725,15251948,15212083,7770,3473,13163544,13133901,90.88,90.74,66.76,66.78,97.84,97.32,77.35,77.35
04276,"Aurora, MO",99999,"Not in a 2000 urban area",763,345,5069876,5053176,8365,3725,15251948,15212083,,,,,9.12,9.26,33.24,33.22,,,,
04303,"Aurora, NE",04303,"Aurora, NE",4207,1845,4140098,4137659,4466,1933,5478591,5464063,4207,1845,4163011,4160572,94.20,95.45,75.57,75.72,100.00,100.00,99.45,99.45
04303,"Aurora, NE",99999,"Not in a 2000 urban area",259,88,1338493,1326404,4466,1933,5478591,5464063,,,,,5.80,4.55,24.43,24.28,,,,
04330,"Au Sable, MI",04330,"Au Sable, MI",6161,4633,18344557,17813742,6384,4799,27739874,27067734,6761,5068,23459865,22867419,96.51,96.54,66.13,65.81,91.13,91.42,78.20,77.90
04330,"Au Sable, MI",99999,"Not in a 2000 urban area",223,166,9395317,9253992,6384,4799,27739874,27067734,,,,,3.49,3.46,33.87,34.19,,,,
04357,"Austin, MN",04357,"Austin, MN",24064,10565,23182978,22928885,25103,11089,31915485,31661392,24071,10568,23295246,23041153,95.86,95.27,72.64,72.42,99.97,99.97,99.52,99.51
04357,"Austin, MN",99999,"Not in a 2000 urban area",1039,524,8732507,8732507,25103,11089,31915485,31661392,,,,,4.14,4.73,27.36,27.58,,,,
04384,"Austin, TX",04384,"Austin, TX",1053219,449484,800448304,799633000,1362416,566966,1366592617,1354651025,1055757,450359,826316092,825444306,77.31,79.28,58.57,59.03,99.76,99.81,96.87,96.87
04384,"Austin, TX",33058,"Georgetown, TX",40910,16342,48410678,48034094,1362416,566966,1366592617,1354651025,41282,16490,52647167,52176442,3.00,2.88,3.54,3.55,99.10,99.10,91.95,92.06
04384,"Austin, TX",35056,"Green Pastures, TX",4428,1190,10707702,9948858,1362416,566966,1366592617,1354651025,5158,1406,14093305,13274110,0.33,0.21,0.78,0.73,85.85,84.64,75.98,74.95
04384,"Austin, TX",47206,"Lakeway, TX",25930,10945,43243263,43243263,1362416,566966,1366592617,1354651025,26081,11029,45150789,45150789,1.90,1.93,3.16,3.19,99.42,99.24,95.78,95.78
04384,"Austin, TX",79201,"San Marcos, TX",9109,3026,6869923,6869923,1362416,566966,1366592617,1354651025,54435,21018,65405142,64809928,0.67,0.53,0.50,0.51,16.73,14.40,10.50,10.60
04384,"Austin, TX",99999,"Not in a 2000 urban area",228820,85979,456912747,446921887,1362416,566966,1366592617,1354651025,,,,,16.80,15.16,33.43,32.99,,,,
04411,"Ava, MO",04411,"Ava, MO",2675,1333,4826245,4825119,2857,1424,5413393,5412267,2722,1356,5233136,5232010,93.63,93.61,89.15,89.15,98.27,98.30,92.22,92.22
04411,"Ava, MO",99999,"Not in a 2000 urban area",182,91,587148,587148,2857,1424,5413393,5412267,,,,,6.37,6.39,10.85,10.85,,,,
04438,"Avalon, CA",04438,"Avalon, CA",3652,2244,3073351,3073351,3652,2244,3434612,3434612,3652,2244,3175742,3161862,100.00,100.00,89.48,89.48,100.00,100.00,96.78,97.20
04438,"Avalon, CA",99999,"Not in a 2000 urban area",0,0,361261,361261,3652,2244,3434612,3434612,,,,,0.00,0.00,10.52,10.52,,,,
04465,"Avenal, CA",04465,"Avenal, CA",8991,2383,4820250,4820250,15486,2402,7912978,7912978,8991,2383,7000930,7000930,58.06,99.21,60.92,60.92,100.00,100.00,68.85,68.85
04465,"Avenal, CA",99999,"Not in a 2000 urban area",6495,19,3092728,3092728,15486,2402,7912978,7912978,,,,,41.94,0.79,39.08,39.08,,,,
04519,"Avon, NY",04519,"Avon, NY",3884,1824,7058249,7058249,4973,2274,10094768,10094768,4050,1893,9235937,9235937,78.10,80.21,69.92,69.92,95.90,96.35,76.42,76.42
04519,"Avon, NY",99999,"Not in a 2000 urban area",1089,450,3036519,3036519,4973,2274,10094768,10094768,,,,,21.90,19.79,30.08,30.08,,,,
04549,"Avondale--Goodyear, AZ",04546,"Avondale, AZ",82105,31329,65403767,65134033,197041,73521,228051364,227705132,97906,37346,76187514,75883813,41.67,42.61,28.68,28.60,83.86,83.89,85.85,85.83
04549,"Avondale--Goodyear, AZ",11134,"Buckeye, AZ",340,328,272117,272117,197041,73521,228051364,227705132,11261,4527,13775323,13775323,0.17,0.45,0.12,0.12,3.02,7.25,1.98,1.98
04549,"Avondale--Goodyear, AZ",33949,"Goodyear North, AZ",3015,1077,7787979,7787979,197041,73521,228051364,227705132,3015,1077,7881735,7881735,1.53,1.46,3.42,3.42,100.00,100.00,98.81,98.81
04549,"Avondale--Goodyear, AZ",69184,"Phoenix--Mesa, AZ",7530,2411,3185154,3185154,197041,73521,228051364,227705132,3044309,1346723,2072671491,2065659605,3.82,3.28,1.40,1.40,0.25,0.18,0.15,0.15
04549,"Avondale--Goodyear, AZ",99999,"Not in a 2000 urban area",104051,38376,151402347,151325849,197041,73521,228051364,227705132,,,,,52.81,52.20,66.39,66.46,,,,
04573,"Avra Valley, AZ",04573,"Avra Valley, AZ",3371,1379,7062151,7062151,3869,1565,10127102,10127102,3443,1414,7307890,7307890,87.13,88.12,69.74,69.74,97.91,97.52,96.64,96.64
04573,"Avra Valley, AZ",99999,"Not in a 2000 urban area",498,186,3064951,3064951,3869,1565,10127102,10127102,,,,,12.87,11.88,30.26,30.26,,,,
04587,"Aztec, NM",29278,"Farmington, NM",7171,3064,11373571,11373571,8456,3553,16655569,16352960,58905,23047,111710767,111385408,84.80,86.24,68.29,69.55,12.17,13.29,10.18,10.21
04587,"Aztec, NM",99999,"Not in a 2000 urban area",1285,489,5281998,4979389,8456,3553,16655569,16352960,,,,,15.20,13.76,31.71,30.45,,,,
04600,"Bad Axe, MI",04600,"Bad Axe, MI",3400,1675,5624413,5624413,3490,1719,6458740,6458740,3492,1723,9156014,9156014,97.42,97.44,87.08,87.08,97.37,97.21,61.43,61.43
04600,"Bad Axe, MI",99999,"Not in a 2000 urban area",90,44,834327,834327,3490,1719,6458740,6458740,,,,,2.58,2.56,12.92,12.92,,,,
04627,"Bainbridge, GA",04627,"Bainbridge, GA",11215,5001,21237335,21237335,12118,5320,27359246,26708255,11724,5269,26731728,26731728,92.55,94.00,77.62,79.52,95.66,94.91,79.45,79.45
04627,"Bainbridge, GA",99999,"Not in a 2000 urban area",903,319,6121911,5470920,12118,5320,27359246,26708255,,,,,7.45,6.00,22.38,20.48,,,,
04654,"Baker City, OR",04654,"Baker City, OR",9432,4459,12442905,12263925,9518,4498,13184411,13005431,9505,4493,15962584,15783604,99.10,99.13,94.38,94.30,99.23,99.24,77.95,77.70
04654,"Baker City, OR",99999,"Not in a 2000 urban area",86,39,741506,741506,9518,4498,13184411,13005431,,,,,0.90,0.87,5.62,5.70,,,,
04681,"Bakersfield, CA",04681,"Bakersfield, CA",468951,160880,280711303,280623229,523994,178519,360801505,358555119,469119,160959,284981480,284893406,89.50,90.12,77.80,78.27,99.96,99.95,98.50,98.50
04681,"Bakersfield, CA",99999,"Not in a 2000 urban area",55043,17639,80090202,77931890,523994,178519,360801505,358555119,,,,,10.50,9.88,22.20,21.73,,,,
04708,"Bald Knob, AR",04708,"Bald Knob, AR",2265,1029,3857899,3857899,2517,1151,5870345,5870345,2271,1034,4059232,4059232,89.99,89.40,65.72,65.72,99.74,99.52,95.04,95.04
04708,"Bald Knob, AR",99999,"Not in a 2000 urban area",252,122,2012446,2012446,2517,1151,5870345,5870345,,,,,10.01,10.60,34.28,34.28,,,,
04762,"Baldwin, WI",04762,"Baldwin, WI",5351,2306,8179301,8179301,5831,2474,9591428,9591428,5427,2337,11357015,11357015,91.77,93.21,85.28,85.28,98.60,98.67,72.02,72.02
04762,"Baldwin, WI",99999,"Not in a 2000 urban area",480,168,1412127,1412127,5831,2474,9591428,9591428,,,,,8.23,6.79,14.72,14.72,,,,
04789,"Baldwin City, KS",04789,"Baldwin City, KS",3599,1259,4133729,4129795,4428,1624,5327014,5322577,3673,1297,6075513,6063184,81.28,77.52,77.60,77.59,97.99,97.07,68.04,68.11
04789,"Baldwin City, KS",99999,"Not in a 2000 urban area",829,365,1193285,1192782,4428,1624,5327014,5322577,,,,,18.72,22.48,22.40,22.41,,,,
04816,"Ballinger, TX",04816,"Ballinger, TX",3624,1704,4526859,4526859,3705,1744,5222696,5222696,3877,1807,9314844,9314844,97.81,97.71,86.68,86.68,93.47,94.30,48.60,48.60
04816,"Ballinger, TX",99999,"Not in a 2000 urban area",81,40,695837,695837,3705,1744,5222696,5222696,,,,,2.19,2.29,13.32,13.32,,,,
04843,"Baltimore, MD",04843,"Baltimore, MD",2154522,920126,1668268198,1659973040,2203663,939420,1922732374,1857113332,2167869,925201,1774280330,1765107809,97.77,97.95,86.77,89.38,99.38,99.45,94.03,94.04
04843,"Baltimore, MD",36595,"Hampstead--Manchester, MD",8295,3182,13446953,13425828,2203663,939420,1922732374,1857113332,13272,4992,22260636,22218928,0.38,0.34,0.70,0.72,62.50,63.74,60.41,60.43
04843,"Baltimore, MD",72991,"Queenstown, MD",1947,970,4450473,4427089,2203663,939420,1922732374,1857113332,2806,1355,6440816,6417432,0.09,0.10,0.23,0.24,69.39,71.59,69.10,68.99
04843,"Baltimore, MD",84898,"Stevensville, MD",8766,3504,13048839,13016605,2203663,939420,1922732374,1857113332,9692,3952,15524658,15492424,0.40,0.37,0.68,0.70,90.45,88.66,84.05,84.02
04843,"Baltimore, MD",99999,"Not in a 2000 urban area",30133,11638,223517911,166270770,2203663,939420,1922732374,1857113332,,,,,1.37,1.24,11.63,8.95,,,,
04870,"Baltimore, OH",04870,"Baltimore, OH",3443,1472,6200348,6200348,3503,1496,6949123,6949123,3466,1483,6376666,6376666,98.29,98.40,89.22,89.22,99.34,99.26,97.23,97.23
04870,"Baltimore, OH",99999,"Not in a 2000 urban area",60,24,748775,748775,3503,1496,6949123,6949123,,,,,1.71,1.60,10.78,10.78,,,,
04897,"Bamberg, SC",04897,"Bamberg, SC",3340,1461,6334276,6334276,3492,1526,7238001,7238001,3397,1489,6929567,6916631,95.65,95.74,87.51,87.51,98.32,98.12,91.41,91.58
04897,"Bamberg, SC",99999,"Not in a 2000 urban area",152,65,903725,903725,3492,1526,7238001,7238001,,,,,4.35,4.26,12.49,12.49,,,,
04924,"Bandon, OR",04924,"Bandon, OR",2742,1600,4313509,4309737,3119,1858,5715434,5707594,2775,1634,4660995,4657223,87.91,86.11,75.47,75.51,98.81,97.92,92.54,92.54
04924,"Bandon, OR",99999,"Not in a 2000 urban area",377,258,1401925,1397857,3119,1858,5715434,5707594,,,,,12.09,13.89,24.53,24.49,,,,
04951,"Bangor, ME",04951,"Bangor, ME",60375,26704,96357863,95767902,61210,27142,113796447,110091842,61046,27016,101030279,100440318,98.64,98.39,84.68,86.99,98.90,98.85,95.38,95.35
04951,"Bangor, ME",99999,"Not in a 2000 urban area",835,438,17438584,14323940,61210,27142,113796447,110091842,,,,,1.36,1.61,15.32,13.01,,,,
05005,"Baraboo, WI",05005,"Baraboo, WI",12433,5776,11101952,10917524,13759,6380,16282378,16095354,12495,5805,12234559,12025877,90.36,90.53,68.18,67.83,99.50,99.50,90.74,90.78
05005,"Baraboo, WI",99999,"Not in a 2000 urban area",1326,604,5180426,5177830,13759,6380,16282378,16095354,,,,,9.64,9.47,31.82,32.17,,,,
05032,"Barbourville, KY",05032,"Barbourville, KY",4620,2131,7162118,7030286,6300,2867,13249381,13090729,4869,2251,8522967,8381857,73.33,74.33,54.06,53.70,94.89,94.67,84.03,83.88
05032,"Barbourville, KY",99999,"Not in a 2000 urban area",1680,736,6087263,6060443,6300,2867,13249381,13090729,,,,,26.67,25.67,45.94,46.30,,,,
05059,"Bardstown, KY",05059,"Bardstown, KY",15005,6499,25266471,25133122,18702,7927,44383364,43997290,15180,6588,26095320,25932619,80.23,81.99,56.93,57.12,98.85,98.65,96.82,96.92
05059,"Bardstown, KY",99999,"Not in a 2000 urban area",3697,1428,19116893,18864168,18702,7927,44383364,43997290,,,,,19.77,18.01,43.07,42.88,,,,
05086,"Bar Harbor, ME",05086,"Bar Harbor, ME",2303,1534,3429068,3429068,2575,1745,4389497,4389497,2311,1548,3606719,3606719,89.44,87.91,78.12,78.12,99.65,99.10,95.07,95.07
05086,"Bar Harbor, ME",99999,"Not in a 2000 urban area",272,211,960429,960429,2575,1745,4389497,4389497,,,,,10.56,12.09,21.88,21.88,,,,
05113,"Barnesville, GA",05113,"Barnesville, GA",6568,2589,11241245,11146581,7167,2769,14156722,14054287,7106,2837,16464950,16299030,91.64,93.50,79.41,79.31,92.43,91.26,68.27,68.39
05113,"Barnesville, GA",99999,"Not in a 2000 urban area",599,180,2915477,2907706,7167,2769,14156722,14054287,,,,,8.36,6.50,20.59,20.69,,,,
05140,"Barnesville, OH",05140,"Barnesville, OH",4074,1981,4280644,4261646,4351,2051,5185594,5154240,4142,2006,8028960,7964604,93.63,96.59,82.55,82.68,98.36,98.75,53.32,53.51
05140,"Barnesville, OH",99999,"Not in a 2000 urban area",277,70,904950,892594,4351,2051,5185594,5154240,,,,,6.37,3.41,17.45,17.32,,,,
05167,"Barnstable Town, MA",05167,"Barnstable Town, MA",228894,151008,634897599,604887303,246695,162112,776545464,718092279,236943,158222,772944686,738811605,92.78,93.15,81.76,84.24,96.60,95.44,82.14,81.87
05167,"Barnstable Town, MA",09271,"Boston, MA--NH--RI",294,151,371716,371716,246695,162112,776545464,718092279,4138544,1706285,4602217221,4475492886,0.12,0.09,0.05,0.05,0.01,0.01,0.01,0.01
05167,"Barnstable Town, MA",99999,"Not in a 2000 urban area",17507,10953,141276149,112833260,246695,162112,776545464,718092279,,,,,7.10,6.76,18.19,15.71,,,,
05194,"Barnwell, SC",05194,"Barnwell, SC",3212,1535,7322193,7322193,3949,1849,9413628,9375809,3217,1539,7504848,7504848,81.34,83.02,77.78,78.10,99.84,99.74,97.57,97.57
05194,"Barnwell, SC",99999,"Not in a 2000 urban area",737,314,2091435,2053616,3949,1849,9413628,9375809,,,,,18.66,16.98,22.22,21.90,,,,
05221,"Barre--Montpelier, VT",05221,"Barre--Montpelier, VT",19897,9902,32820445,32518691,21675,10676,46416747,45867906,21543,10674,45835938,45278675,91.80,92.75,70.71,70.90,92.36,92.77,71.60,71.82
05221,"Barre--Montpelier, VT",99999,"Not in a 2000 urban area",1778,774,13596302,13349215,21675,10676,46416747,45867906,,,,,8.20,7.25,29.29,29.10,,,,
05248,"Barron, WI",05248,"Barron, WI",3038,1422,4329022,4279292,3292,1469,5003471,4953741,3051,1428,4424340,4374610,92.28,96.80,86.52,86.39,99.57,99.58,97.85,97.82
05248,"Barron, WI",99999,"Not in a 2000 urban area",254,47,674449,674449,3292,1469,5003471,4953741,,,,,7.72,3.20,13.48,13.61,,,,
05275,"Barrow, AK",05275,"Barrow, AK",3794,1352,1947682,1926835,3835,1370,2543588,2059159,3869,1381,28416204,26328056,98.93,98.69,76.57,93.57,98.06,97.90,6.85,7.32
05275,"Barrow, AK",99999,"Not in a 2000 urban area",41,18,595906,132324,3835,1370,2543588,2059159,,,,,1.07,1.31,23.43,6.43,,,,
05302,"Barstow, CA",05302,"Barstow, CA",27783,11464,27586312,27586312,28973,11905,31977610,31977610,28665,11785,38957432,38957432,95.89,96.30,86.27,86.27,96.92,97.28,70.81,70.81
05302,"Barstow, CA",99999,"Not in a 2000 urban area",1190,441,4391298,4391298,28973,11905,31977610,31977610,,,,,4.11,3.70,13.73,13.73,,,,
05329,"Bartlesville, OK",05329,"Bartlesville, OK",38539,18047,57455062,57422862,38874,18205,63485416,63453216,39250,18359,65546241,65514041,99.14,99.13,90.50,90.50,98.19,98.30,87.66,87.65
05329,"Bartlesville, OK",99999,"Not in a 2000 urban area",335,158,6030354,6030354,38874,18205,63485416,63453216,,,,,0.86,0.87,9.50,9.50,,,,
05356,"Bartlett, TX",05356,"Bartlett, TX",2543,586,2288669,2287575,2653,621,2752377,2751283,2549,592,2362266,2361172,95.85,94.36,83.15,83.15,99.76,98.99,96.88,96.88
05356,"Bartlett, TX",99999,"Not in a 2000 urban area",110,35,463708,463708,2653,621,2752377,2751283,,,,,4.15,5.64,16.85,16.85,,,,
05410,"Basalt--El Jebel, CO",05410,"Basalt, CO",6801,2717,5585557,5562291,8531,3464,10496717,10470559,7276,2908,9856739,9796251,79.72,78.44,53.21,53.12,93.47,93.43,56.67,56.78
05410,"Basalt--El Jebel, CO",99999,"Not in a 2000 urban area",1730,747,4911160,4908268,8531,3464,10496717,10470559,,,,,20.28,21.56,46.79,46.88,,,,
05423,"Basehor, KS",99999,"Not in a 2000 urban area",3849,1546,6498641,6395684,3849,1546,6498641,6395684,,,,,100.00,100.00,100.00,100.00,,,,
05437,"Bastrop, LA",05437,"Bastrop, LA",13784,5873,24385255,24280065,13979,5959,26206434,26101244,14112,6011,27108113,27002923,98.61,98.56,93.05,93.02,97.68,97.70,89.96,89.92
05437,"Bastrop, LA",99999,"Not in a 2000 urban area",195,86,1821179,1821179,13979,5959,26206434,26101244,,,,,1.39,1.44,6.95,6.98,,,,
05464,"Bastrop, TX",05464,"Bastrop, TX",9456,3487,17052284,17025705,13371,4887,30054919,29716703,9639,3573,21242354,21192682,70.72,71.35,56.74,57.29,98.10,97.59,80.27,80.34
05464,"Bastrop, TX",99999,"Not in a 2000 urban area",3915,1400,13002635,12690998,13371,4887,30054919,29716703,,,,,29.28,28.65,43.26,42.71,,,,
05491,"Batavia, NY",05491,"Batavia, NY",16217,7623,15267150,15057619,17834,7955,20933922,20722255,16348,7673,16448678,16239147,90.93,95.83,72.93,72.66,99.20,99.35,92.82,92.72
05491,"Batavia, NY",99999,"Not in a 2000 urban area",1617,332,5666772,5664636,17834,7955,20933922,20722255,,,,,9.07,4.17,27.07,27.34,,,,
05518,"Batesburg-Leesville, SC",05518,"Batesburg-Leesville, SC",4415,2085,10539613,10501483,5267,2403,15122502,14994938,4704,2241,12202739,12164609,83.82,86.77,69.69,70.03,93.86,93.04,86.37,86.33
05518,"Batesburg-Leesville, SC",99999,"Not in a 2000 urban area",852,318,4582889,4493455,5267,2403,15122502,14994938,,,,,16.18,13.23,30.31,29.97,,,,
05545,"Batesville, AR",05545,"Batesville, AR",10757,4625,18088319,18088319,11513,4955,24050841,23838165,11038,4760,23058675,23058675,93.43,93.34,75.21,75.88,97.45,97.16,78.44,78.44
05545,"Batesville, AR",99999,"Not in a 2000 urban area",756,330,5962522,5749846,11513,4955,24050841,23838165,,,,,6.57,6.66,24.79,24.12,,,,
05572,"Batesville, IN",05572,"Batesville, IN",6715,2772,11282552,11174669,7734,3222,15712731,15594047,7004,2868,14600467,14461563,86.82,86.03,71.81,71.66,95.87,96.65,77.28,77.27
05572,"Batesville, IN",99999,"Not in a 2000 urban area",1019,450,4430179,4419378,7734,3222,15712731,15594047,,,,,13.18,13.97,28.19,28.34,,,,
05599,"Batesville, MS",05599,"Batesville, MS",5954,2477,11290866,11290866,7309,3027,21341285,21341285,6038,2511,11803681,11803681,81.46,81.83,52.91,52.91,98.61,98.65,95.66,95.66
05599,"Batesville, MS",99999,"Not in a 2000 urban area",1355,550,10050419,10050419,7309,3027,21341285,21341285,,,,,18.54,18.17,47.09,47.09,,,,
05653,"Bath, NY",05653,"Bath, NY",6946,3354,10616504,10361005,7124,3428,11337656,11082157,7628,3486,13606952,13350538,97.50,97.84,93.64,93.49,91.06,96.21,78.02,77.61
05653,"Bath, NY",99999,"Not in a 2000 urban area",178,74,721152,721152,7124,3428,11337656,11082157,,,,,2.50,2.16,6.36,6.51,,,,
05680,"Baton Rouge, LA",05680,"Baton Rouge, LA",515543,216173,693222782,690584408,594309,246028,961736118,949993185,520255,218026,729793501,726964126,86.75,87.87,72.08,72.69,99.09,99.15,94.99,95.00
05680,"Baton Rouge, LA",70075,"Plaquemine, LA",17143,6770,22496154,22496154,594309,246028,961736118,949993185,18421,7250,31088883,31088883,2.88,2.75,2.34,2.37,93.06,93.38,72.36,72.36
05680,"Baton Rouge, LA",99999,"Not in a 2000 urban area",61623,23085,246017182,236912623,594309,246028,961736118,949993185,,,,,10.37,9.38,25.58,24.94,,,,
05707,"Battle Creek, MI",05707,"Battle Creek, MI",75597,34988,121212596,117777790,78393,36200,140859475,137324107,76878,35537,135188880,131339856,96.43,96.65,86.05,85.77,98.33,98.46,89.66,89.67
05707,"Battle Creek, MI",99999,"Not in a 2000 urban area",2796,1212,19646879,19546317,78393,36200,140859475,137324107,,,,,3.57,3.35,13.95,14.23,,,,
05734,"Battlement Mesa, CO",05734,"Battlement Mesa, CO",4530,2422,5718034,5718034,5071,2666,7578498,7577591,4535,2424,5844377,5844377,89.33,90.85,75.45,75.46,99.89,99.92,97.84,97.84
05734,"Battlement Mesa, CO",99999,"Not in a 2000 urban area",541,244,1860464,1859557,5071,2666,7578498,7577591,,,,,10.67,9.15,24.55,24.54,,,,
05761,"Battle Mountain, NV",05761,"Battle Mountain, NV",3324,1383,4115323,4115323,3520,1466,5040047,5040047,3386,1416,5175363,5168932,94.43,94.34,81.65,81.65,98.17,97.67,79.52,79.62
05761,"Battle Mountain, NV",99999,"Not in a 2000 urban area",196,83,924724,924724,3520,1466,5040047,5040047,,,,,5.57,5.66,18.35,18.35,,,,
05788,"Baxley, GA",05788,"Baxley, GA",4803,2230,13092629,13075891,5208,2397,14710573,14690092,4935,2300,14642993,14619409,92.22,93.03,89.00,89.01,97.33,96.96,89.41,89.44
05788,"Baxley, GA",99999,"Not in a 2000 urban area",405,167,1617944,1614201,5208,2397,14710573,14690092,,,,,7.78,6.97,11.00,10.99,,,,
05815,"Baxter Springs, KS",05815,"Baxter Springs, KS",4149,1993,6459941,6459941,5089,2383,11384210,11384210,4306,2074,8504470,8504470,81.53,83.63,56.74,56.74,96.35,96.09,75.96,75.96
05815,"Baxter Springs, KS",99999,"Not in a 2000 urban area",940,390,4924269,4924269,5089,2383,11384210,11384210,,,,,18.47,16.37,43.26,43.26,,,,
05842,"Bayard, NM",05842,"Bayard, NM",4292,2015,6665164,6632565,4309,2022,7015480,6982354,5098,2423,13412131,13366826,99.61,99.65,95.01,94.99,84.19,83.16,49.70,49.62
05842,"Bayard, NM",99999,"Not in a 2000 urban area",17,7,350316,349789,4309,2022,7015480,6982354,,,,,0.39,0.35,4.99,5.01,,,,
05869,"Bay City, MI",05869,"Bay City, MI",69206,31827,95684849,94834353,70585,32513,108617001,104448520,71380,32848,104488696,103447105,98.05,97.89,88.09,90.80,96.95,96.89,91.57,91.67
05869,"Bay City, MI",99999,"Not in a 2000 urban area",1379,686,12932152,9614167,70585,32513,108617001,104448520,,,,,1.95,2.11,11.91,9.20,,,,
05896,"Bay City, TX",05896,"Bay City, TX",18156,8026,20977101,20952523,18745,8277,24227900,24202512,18524,8171,24334352,24280532,96.86,96.97,86.58,86.57,98.01,98.23,86.20,86.29
