UA,NAME,UA00,UA00NAME,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,UA00POP,UA00HU,UA00AREA,UA00AREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,UA00POPPCT,UA00HUPCT,UA00AREAPCT,UA00AREALANDPCT
02386,"Anderson, IN",99999,"Not in a 2000 urban area",3231,1326,28821754,28566267,88133,40670,171854043,171100448,,,,,3.67,3.26,16.77,16.70,,,,
02413,"Anderson, SC",02413,"Anderson, SC",69017,32103,153256942,152799616,75702,34650,195174789,191880867,75889,35389,178997931,178450400,91.17,92.65,78.52,79.63,90.94,90.71,85.62,85.63
02413,"Anderson, SC",99999,"Not in a 2000 urban area",6685,2547,41917847,39081251,75702,34650,195174789,191880867,,,,,8.83,7.35,21.48,20.37,,,,
02440,"Andrews, SC",02440,"Andrews, SC",3646,1601,6610032,6610032,3903,1709,7780782,7780782,3814,1678,9832637,9832637,93.42,93.68,84.95,84.95,95.60,95.41,67.23,67.23
02440,"Andrews, SC",99999,"Not in a 2000 urban area",257,108,1170750,1170750,3903,1709,7780782,7780782,,,,,6.58,6.32,15.05,15.05,,,,
02467,"Andrews, TX",02467,"Andrews, TX",12077,4753,14628729,14598200,12346,4841,16223454,16192925,12144,4778,16062016,16031487,97.82,98.18,90.17,90.15,99.45,99.48,91.08,91.06
02467,"Andrews, TX",99999,"Not in a 2000 urban area",269,88,1594725,1594725,12346,4841,16223454,16192925,,,,,2.18,1.82,9.83,9.85,,,,
02494,"Angels, CA",02494,"Angels City, CA",3131,1534,4751055,4740206,3751,1853,6925820,6902231,3152,1547,5284726,5273877,83.47,82.78,68.60,68.68,99.33,99.16,89.90,89.88
02494,"Angels, CA",99999,"Not in a 2000 urban area",620,319,2174765,2162025,3751,1853,6925820,6902231,,,,,16.53,17.22,31.40,31.32,,,,
02548,"Angola, IN",02548,"Angola, IN",9342,4867,20475328,18033814,11196,5828,27532808,23588879,10132,5361,24500245,21868146,83.44,83.51,74.37,76.45,92.20,90.79,83.57,82.47
