"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_commuting_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","intptlat","intptlon","ua_census_id","ua_sq_miles_2010","ua_fta_name","transit_modes","total_transit_expenses","total_fares","directional_route_miles","vehicle_hours","vehicle_miles","passenger_miles","passenger_trips","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding","per_capita_gdp","pmt_per_vrm","pmt_per_vrh","per_capita_vrm","per_capita_vrh","per_capita_pmt","per_capita_upt"
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4574531,2015,55547,1.7,0.1,10.9,16.2,221570100000,NA,NA,"69184",1147,"San Francisco-Oakland, CA","Other",36628723,8778034,0,558250,13946320,40005775,2067502,NA,509904848,88771064,6127665,333962655,81043464,48435.5882603047,2.86855421358466,71.6628302731751,3.04868848850297,0.122034368113365,8.74532820960225,0.45195933747088
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4574531,2015,55547,1.7,0.1,10.9,16.2,221570100000,NA,NA,"88732",353,"Tucson, AZ","Other",16031511,1701782,0,289785,4399861,8619822,632739,NA,107901893,21844003,12948483,56890637,16218770,48435.5882603047,1.95911234468543,29.7455768932139,0.961816850732895,0.0633474775884129,1.88430726559728,0.138317786020031
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4574531,2015,55547,1.7,0.1,10.9,16.2,221570100000,NA,NA,"88732",353,"Tucson, AZ","Rail",3841424,903561,7.8,22621,179050,1660329,1078136,0,107901893,21844003,12948483,56890637,16218770,48435.5882603047,9.27299078469701,73.3976835683657,0.0391406244705741,0.00494498780312124,0.36295065002292,0.235682302732236
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4574531,2015,55547,1.7,0.1,10.9,16.2,221570100000,NA,NA,"88732",353,"Tucson, AZ","Bus",58279595,12171995,1152,665370,8189813,85473786,19657931,9,107901893,21844003,12948483,56890637,16218770,48435.5882603047,10.4365980029092,128.460534740069,1.79030659099261,0.145450976285875,18.6847101921487,4.29725604657614
38300,"Pittsburgh, PA Metro Area",2353045,2015,54080,3.7,0,4.5,12.3,136683900000,40.4343378,-79.8280615,"69697",905,"Pittsburgh, PA","Other",50107687,16931403,0,932368,14705104,23767792,2266952,NA,473700942,66524658,252362218,38652649,116161417,58088.0943628362,1.6162954032831,25.4918572923996,6.24939344551422,0.396238915957833,10.1008658992922,0.963412089441553
38300,"Pittsburgh, PA Metro Area",2353045,2015,54080,3.7,0,4.5,12.3,136683900000,40.4343378,-79.8280615,"69697",905,"Pittsburgh, PA","Rail",56618179,12732435,49.84,176573,2155960,31297175,8841395,160,473700942,66524658,252362218,38652649,116161417,58088.0943628362,14.5165842594482,177.247795529328,0.916242570796564,0.0750402138505638,13.3007124810618,3.75742707853016
38300,"Pittsburgh, PA Metro Area",2353045,2015,54080,3.7,0,4.5,12.3,136683900000,40.4343378,-79.8280615,"69697",905,"Pittsburgh, PA","Bus",296483245,81985729,2723.85,1648040,22226589,247607082,56356510,90,473700942,66524658,252362218,38652649,116161417,58088.0943628362,11.1401295988332,150.243369092983,9.44588352538944,0.700386095463538,105.228366648322,23.9504599359553
38300,"Pittsburgh, PA Metro Area",2353045,2015,54080,3.7,0,4.5,12.3,136683900000,40.4343378,-79.8280615,"69697",905,"Milwaukee, WI","Other",50107687,16931403,0,932368,14705104,23767792,2266952,NA,473700942,66524658,252362218,38652649,116161417,58088.0943628362,1.6162954032831,25.4918572923996,6.24939344551422,0.396238915957833,10.1008658992922,0.963412089441553
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2390244,2015,63850,3.6,0.1,6.4,12.2,156869300000,45.6006204,-122.4843457,"71317",524,"Portland, OR-WA","Rail",131675142,47544324,148.31,599967,8357673,216442258,42849983,351,752658402,164131538,123500942,307272575,157753347,65628.9901784086,25.8974307800748,360.756938298273,3.49657733687439,0.251006591795649,90.5523695488829,17.927032972366
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2390244,2015,63850,3.6,0.1,6.4,12.2,156869300000,45.6006204,-122.4843457,"71317",524,"Portland, OR-WA","Other",52474173,8828200,1.28,651419,9580673,14804406,3291824,8,752658402,164131538,123500942,307272575,157753347,65628.9901784086,1.54523654027228,22.7263957606395,4.0082405812963,0.272532427651738,6.19367980842123,1.37719161725748
